x	y			kolo	kwadrat	pi							kolo	kwadrat				
226	204	0	1	1204	1514	3,180977543												
339	28	0	0	1204	1515	3,178877888												
352	39	0	0	1204	1516	3,176781003												
107	219	0	1	1205	1517	3,177323665												
256	74	0	1	1206	1518	3,177865613												
368	92	0	1	1207	1519	3,178406847												
30	71	0	0	1207	1520	3,176315789												
258	117	0	1	1208	1521	3,176857331												
137	102	0	1	1209	1522	3,17739816												
47	337	0	0	1209	1523	3,175311884												
38	377	0	0	1209	1524	3,173228346												
113	120	0	1	1210	1525	3,173770492												
28	319	0	0	1210	1526	3,171690695												
75	101	0	1	1211	1527	3,172233137												
22	49	0	0	1211	1528	3,170157068												
211	253	0	1	1212	1529	3,170699804												
275	87	0	1	1213	1530	3,17124183												
267	240	0	1	1214	1531	3,171783148												
381	186	0	1	1215	1532	3,17232376												
18	290	0	0	1215	1533	3,170254403												
204	334	0	1	1216	1534	3,170795306												
384	73	0	0	1216	1535	3,168729642												
375	116	0	1	1217	1536	3,169270833												
270	164	0	1	1218	1537	3,169811321												
44	252	0	1	1219	1538	3,170351105												
25	353	0	0	1219	1539	3,168291098												
91	223	0	1	1220	1540	3,168831169												
118	348	0	1	1221	1541	3,169370539												
243	241	0	1	1222	1542	3,169909209												
183	191	0	1	1223	1543	3,170447181												
169	228	0	1	1224	1544	3,170984456												
62	96	0	1	1225	1545	3,171521036												
109	28	0	1	1226	1546	3,172056921												
251	36	0	1	1227	1547	3,172592114												
50	345	0	0	1227	1548	3,170542636												
380	153	0	1	1228	1549	3,171078115												
315	139	0	1	1229	1550	3,171612903												
31	232	0	1	1230	1551	3,172147002												
349	285	0	1	1231	1552	3,172680412												
173	194	0	1	1232	1553	3,173213136												
400	237	0	0	1232	1554	3,171171171												
93	385	0	0	1232	1555	3,169131833												
261	275	0	1	1233	1556	3,16966581												
386	245	0	1	1234	1557	3,170199101												
17	3	0	0	1234	1558	3,168164313												
77	253	0	1	1235	1559	3,168697883												
281	296	0	1	1236	1560	3,169230769												
204	95	0	1	1237	1561	3,169762972												
143	114	0	1	1238	1562	3,170294494												
348	207	0	1	1239	1563	3,170825336												
97	52	0	1	1240	1564	3,171355499												
265	180	0	1	1241	1565	3,171884984												
58	341	0	0	1241	1566	3,169859515												
96	73	0	1	1242	1567	3,170389279												
93	120	0	1	1243	1568	3,170918367												
53	2	0	0	1243	1569	3,168897387												
357	290	0	1	1244	1570	3,169426752												
169	311	0	1	1245	1571	3,169955442												
258	17	0	1	1246	1572	3,170483461												
175	80	0	1	1247	1573	3,171010807												
129	363	0	1	1248	1574	3,171537484												
364	264	0	1	1249	1575	3,172063492												
228	146	0	1	1250	1576	3,172588832												
249	136	0	1	1251	1577	3,173113507												
100	163	0	1	1252	1578	3,173637516												
125	7	0	0	1252	1579	3,171627612												
76	378	0	0	1252	1580	3,169620253												
245	31	0	1	1253	1581	3,170145478												
38	264	0	1	1254	1582	3,170670038												
324	315	0	1	1255	1583	3,171193936												
59	183	0	1	1256	1584	3,171717172												
346	226	0	1	1257	1585	3,172239748												
202	213	0	1	1258	1586	3,172761665												
3	155	0	0	1258	1587	3,170762445												
169	305	0	1	1259	1588	3,171284635												
290	259	0	1	1260	1589	3,171806167												
41	137	0	1	1261	1590	3,172327044												
79	84	0	1	1262	1591	3,172847266												
399	249	0	0	1262	1592	3,170854271												
83	335	0	1	1263	1593	3,171374765												
277	24	0	1	1264	1594	3,171894605												
133	211	0	1	1265	1595	3,172413793												
32	306	0	1	1266	1596	3,172932331												
154	302	0	1	1267	1597	3,173450219												
106	203	0	1	1268	1598	3,173967459												
189	116	0	1	1269	1599	3,174484053												
294	397	0	0	1269	1600	3,1725												
148	31	0	1	1270	1601	3,173016864												
42	308	0	1	1271	1602	3,173533084												
364	388	0	0	1271	1603	3,171553337												
343	30	0	0	1271	1604	3,16957606												
201	128	0	1	1272	1605	3,170093458												
268	182	0	1	1273	1606	3,170610212												
327	3	0	0	1273	1607	3,168637212												
362	320	0	0	1273	1608	3,166666667												
143	104	0	1	1274	1609	3,167184587												
285	322	0	1	1275	1610	3,167701863												
46	371	0	0	1275	1611	3,165735568												
354	384	0	0	1275	1612	3,163771712												
181	306	0	1	1276	1613	3,164290143												
305	328	0	1	1277	1614	3,164807931												
294	60	0	1	1278	1615	3,165325077												
95	2	0	0	1278	1616	3,163366337												
247	323	0	1	1279	1617	3,163883735												
393	360	0	0	1279	1618	3,161928307												
80	25	0	0	1279	1619	3,159975293												
391	293	0	0	1279	1620	3,158024691												
239	359	0	1	1280	1621	3,158544109												
158	88	0	1	1281	1622	3,159062885												
157	163	0	1	1282	1623	3,159581023												
141	159	0	1	1283	1624	3,160098522												
238	349	0	1	1284	1625	3,160615385												
383	209	0	1	1285	1626	3,161131611												
369	348	0	0	1285	1627	3,159188691												
139	15	0	1	1286	1628	3,15970516												
372	325	0	0	1286	1629	3,1577655												
133	197	0	1	1287	1630	3,158282209												
319	10	0	0	1287	1631	3,1563458												
279	365	0	1	1288	1632	3,156862745												
338	349	0	0	1288	1633	3,154929577												
224	326	0	1	1289	1634	3,155446756												
267	350	0	1	1290	1635	3,155963303												
40	222	0	1	1291	1636	3,156479218												
288	355	0	1	1292	1637	3,156994502												
111	173	0	1	1293	1638	3,157509158												
373	83	0	0	1293	1639	3,155582672												
304	397	0	0	1293	1640	3,153658537												
169	219	0	1	1294	1641	3,154174284												
30	28	0	0	1294	1642	3,15225335												
255	217	0	1	1295	1643	3,152769324												
359	205	0	1	1296	1644	3,153284672												
291	336	0	1	1297	1645	3,153799392												
6	187	0	1	1298	1646	3,154313487												
357	91	0	1	1299	1647	3,154826958												
170	289	0	1	1300	1648	3,155339806												
14	185	0	1	1301	1649	3,155852032												
295	132	0	1	1302	1650	3,156363636												
342	263	0	1	1303	1651	3,156874621												
37	88	0	1	1304	1652	3,157384988												
226	51	0	1	1305	1653	3,157894737												
177	179	0	1	1306	1654	3,158403869												
297	36	0	1	1307	1655	3,158912387												
300	12	0	0	1307	1656	3,157004831												
74	217	0	1	1308	1657	3,157513579												
210	294	0	1	1309	1658	3,158021713												
318	339	0	1	1310	1659	3,158529234												
276	27	0	1	1311	1660	3,159036145												
283	205	0	1	1312	1661	3,159542444												
302	142	0	1	1313	1662	3,160048135												
223	8	0	1	1314	1663	3,160553217												
365	196	0	1	1315	1664	3,161057692												
226	170	0	1	1316	1665	3,161561562												
65	168	0	1	1317	1666	3,162064826												
326	322	0	1	1318	1667	3,162567487												
233	122	0	1	1319	1668	3,163069544												
339	231	0	1	1320	1669	3,163571001												
217	92	0	1	1321	1670	3,164071856												
23	51	0	0	1321	1671	3,162178336												
324	63	0	1	1322	1672	3,162679426												
100	330	0	1	1323	1673	3,163179916												
75	391	0	0	1323	1674	3,161290323												
14	231	0	1	1324	1675	3,161791045												
272	168	0	1	1325	1676	3,162291169												
230	45	0	1	1326	1677	3,162790698												
66	21	0	0	1326	1678	3,16090584												
74	190	0	1	1327	1679	3,161405599												
181	309	0	1	1328	1680	3,161904762												
120	394	0	0	1328	1681	3,160023795												
46	338	0	0	1328	1682	3,158145065												
377	151	0	1	1329	1683	3,158645276												
208	219	0	1	1330	1684	3,159144893												
32	357	0	0	1330	1685	3,15727003												
170	328	0	1	1331	1686	3,15776987												
302	136	0	1	1332	1687	3,158269117												
221	297	0	1	1333	1688	3,158767773												
179	253	0	1	1334	1689	3,159265838												
119	347	0	1	1335	1690	3,159763314												
195	362	0	1	1336	1691	3,160260201												
63	394	0	0	1336	1692	3,158392435												
349	86	0	1	1337	1693	3,158889545												
222	182	0	1	1338	1694	3,159386068												
221	387	0	1	1339	1695	3,159882006												
362	40	0	0	1339	1696	3,158018868												
339	281	0	1	1340	1697	3,158515027												
144	113	0	1	1341	1698	3,159010601												
61	306	0	1	1342	1699	3,159505592												
331	103	0	1	1343	1700	3,16												
348	321	0	1	1344	1701	3,160493827												
44	222	0	1	1345	1702	3,160987074												
133	40	0	1	1346	1703	3,161479742												
47	237	0	1	1347	1704	3,161971831												
235	294	0	1	1348	1705	3,162463343												
79	112	0	1	1349	1706	3,162954279												
91	80	0	1	1350	1707	3,16344464												
19	324	0	0	1350	1708	3,161592506												
226	274	0	1	1351	1709	3,16208309												
32	387	0	0	1351	1710	3,160233918												
41	263	0	1	1352	1711	3,160724722												
64	112	0	1	1353	1712	3,161214953												
95	301	0	1	1354	1713	3,161704612												
384	181	0	1	1355	1714	3,162193699												
17	304	0	0	1355	1715	3,160349854												
207	180	0	1	1356	1716	3,160839161												
1	357	0	0	1356	1717	3,158998253												
299	252	0	1	1357	1718	3,159487776												
35	242	0	1	1358	1719	3,159976731												
376	92	0	0	1358	1720	3,158139535												
66	216	0	1	1359	1721	3,158628704												
376	2	0	0	1359	1722	3,156794425												
284	128	0	1	1360	1723	3,157283807												
341	122	0	1	1361	1724	3,157772622												
98	273	0	1	1362	1725	3,15826087												
282	306	0	1	1363	1726	3,158748552												
265	58	0	1	1364	1727	3,159235669												
52	148	0	1	1365	1728	3,159722222												
169	280	0	1	1366	1729	3,160208213												
17	173	0	1	1367	1730	3,160693642												
39	45	0	0	1367	1731	3,158867707												
304	42	0	1	1368	1732	3,159353349												
240	209	0	1	1369	1733	3,15983843												
154	347	0	1	1370	1734	3,160322953												
297	334	0	1	1371	1735	3,160806916												
388	393	0	0	1371	1736	3,158986175												
118	216	0	1	1372	1737	3,159470351												
300	341	0	1	1373	1738	3,15995397												
263	12	0	1	1374	1739	3,160437033												
219	281	0	1	1375	1740	3,16091954												
363	211	0	1	1376	1741	3,161401493												
305	388	0	0	1376	1742	3,159586682												
291	319	0	1	1377	1743	3,160068847												
238	327	0	1	1378	1744	3,160550459												
299	86	0	1	1379	1745	3,161031519												
28	297	0	1	1380	1746	3,161512027												
170	150	0	1	1381	1747	3,161991986												
281	114	0	1	1382	1748	3,162471396												
175	306	0	1	1383	1749	3,162950257												
274	197	0	1	1384	1750	3,163428571												
1	288	0	0	1384	1751	3,16162193												
105	332	0	1	1385	1752	3,162100457												
314	209	0	1	1386	1753	3,162578437												
142	383	0	1	1387	1754	3,163055872												
24	34	0	0	1387	1755	3,161253561												
88	260	0	1	1388	1756	3,161731207												
73	143	0	1	1389	1757	3,16220831												
55	377	0	0	1389	1758	3,160409556												
102	222	0	1	1390	1759	3,160886868												
370	355	0	0	1390	1760	3,159090909												
143	124	0	1	1391	1761	3,159568427												
23	74	0	0	1391	1762	3,157775255												
357	40	0	0	1391	1763	3,155984118												
230	220	0	1	1392	1764	3,156462585												
315	389	0	0	1392	1765	3,154674221												
147	305	0	1	1393	1766	3,155152888												
301	177	0	1	1394	1767	3,155631013												
98	159	0	1	1395	1768	3,156108597												
183	141	0	1	1396	1769	3,156585642												
51	20	0	0	1396	1770	3,15480226												
27	188	0	1	1397	1771	3,155279503												
41	159	0	1	1398	1772	3,155756208												
100	254	0	1	1399	1773	3,156232375												
275	345	0	1	1400	1774	3,156708005												
137	200	0	1	1401	1775	3,157183099												
350	298	0	1	1402	1776	3,157657658												
99	283	0	1	1403	1777	3,158131683												
380	232	0	1	1404	1778	3,158605174												
74	310	0	1	1405	1779	3,159078134												
326	357	0	0	1405	1780	3,157303371												
62	1	0	0	1405	1781	3,155530601												
1	17	0	0	1405	1782	3,15375982												
63	252	0	1	1406	1783	3,154234436												
289	153	0	1	1407	1784	3,15470852												
305	83	0	1	1408	1785	3,155182073												
159	347	0	1	1409	1786	3,155655095												
237	369	0	1	1410	1787	3,156127588												
41	334	0	0	1410	1788	3,154362416												
259	366	0	1	1411	1789	3,154835103												
129	172	0	1	1412	1790	3,155307263												
153	250	0	1	1413	1791	3,155778894												
238	14	0	1	1414	1792	3,15625												
109	360	0	1	1415	1793	3,15672058												
342	199	0	1	1416	1794	3,157190635												
125	196	0	1	1417	1795	3,157660167												
358	388	0	0	1417	1796	3,155902004												
291	62	0	1	1418	1797	3,156371731												
256	331	0	1	1419	1798	3,156840934												
70	233	0	1	1420	1799	3,157309616												
200	285	0	1	1421	1800	3,157777778												
166	318	0	1	1422	1801	3,158245419												
53	201	0	1	1423	1802	3,158712542												
322	187	0	1	1424	1803	3,159179146												
300	225	0	1	1425	1804	3,159645233												
255	345	0	1	1426	1805	3,160110803												
372	32	0	0	1426	1806	3,158361019												
283	315	0	1	1427	1807	3,158826785												
351	292	0	1	1428	1808	3,159292035												
54	251	0	1	1429	1809	3,159756772												
51	83	0	1	1430	1810	3,160220994												
82	188	0	1	1431	1811	3,160684705												
93	20	0	0	1431	1812	3,158940397												
175	282	0	1	1432	1813	3,159404302												
270	145	0	1	1433	1814	3,159867696												
304	319	0	1	1434	1815	3,160330579												
266	284	0	1	1435	1816	3,160792952												
268	360	0	1	1436	1817	3,161254816												
25	204	0	1	1437	1818	3,161716172												
45	205	0	1	1438	1819	3,16217702												
340	6	0	0	1438	1820	3,16043956												
321	330	0	1	1439	1821	3,160900604												
383	271	0	1	1440	1822	3,161361142												
341	196	0	1	1441	1823	3,161821174												
247	253	0	1	1442	1824	3,162280702												
211	34	0	1	1443	1825	3,162739726												
292	295	0	1	1444	1826	3,163198248												
73	99	0	1	1445	1827	3,163656267												
83	366	0	0	1445	1828	3,161925602												
305	240	0	1	1446	1829	3,162383816												
314	88	0	1	1447	1830	3,16284153												
185	307	0	1	1448	1831	3,163298744												
181	100	0	1	1449	1832	3,163755459												
296	203	0	1	1450	1833	3,164211675												
211	56	0	1	1451	1834	3,164667394												
372	270	0	1	1452	1835	3,165122616												
78	14	0	0	1452	1836	3,163398693												
362	270	0	1	1453	1837	3,16385411												
147	209	0	1	1454	1838	3,164309032												
383	150	0	1	1455	1839	3,164763458												
270	57	0	1	1456	1840	3,165217391												
312	372	0	0	1456	1841	3,163498099												
285	74	0	1	1457	1842	3,163952226												
246	244	0	1	1458	1843	3,16440586												
327	269	0	1	1459	1844	3,164859002												
395	183	0	1	1460	1845	3,165311653												
287	102	0	1	1461	1846	3,165763814												
384	172	0	1	1462	1847	3,166215485												
245	108	0	1	1463	1848	3,166666667												
273	2	0	0	1463	1849	3,164954029												
152	302	0	1	1464	1850	3,165405405												
60	383	0	0	1464	1851	3,1636953												
137	143	0	1	1465	1852	3,164146868												
289	66	0	1	1466	1853	3,164597949												
129	140	0	1	1467	1854	3,165048544												
305	358	0	1	1468	1855	3,165498652												
178	173	0	1	1469	1856	3,165948276												
335	326	0	1	1470	1857	3,166397415												
342	332	0	1	1471	1858	3,166846071												
6	311	0	0	1471	1859	3,16514255												
75	381	0	0	1471	1860	3,16344086												
229	164	0	1	1472	1861	3,163890382												
305	327	0	1	1473	1862	3,16433942												
158	75	0	1	1474	1863	3,164787976												
326	201	0	1	1475	1864	3,165236052												
395	303	0	0	1475	1865	3,163538874												
145	38	0	1	1476	1866	3,163987138												
199	57	0	1	1477	1867	3,164434922												
324	204	0	1	1478	1868	3,164882227												
354	43	0	0	1478	1869	3,163188871												
385	304	0	0	1478	1870	3,161497326												
336	384	0	0	1478	1871	3,15980759												
124	160	0	1	1479	1872	3,16025641												
364	82	0	0	1479	1873	3,15856914												
237	338	0	1	1480	1874	3,159018143												
37	47	0	0	1480	1875	3,157333333												
388	241	0	1	1481	1876	3,157782516												
287	48	0	1	1482	1877	3,15823122												
93	335	0	1	1483	1878	3,158679446												
207	194	0	1	1484	1879	3,159127195												
189	346	0	1	1485	1880	3,159574468												
8	190	0	1	1486	1881	3,160021265												
1	28	0	0	1486	1882	3,158342189												
164	290	0	1	1487	1883	3,158789166												
300	54	0	1	1488	1884	3,159235669												
251	325	0	1	1489	1885	3,159681698												
20	215	0	1	1490	1886	3,160127253												
373	58	0	0	1490	1887	3,15845257												
304	263	0	1	1491	1888	3,158898305												
180	204	0	1	1492	1889	3,159343568												
18	248	0	1	1493	1890	3,15978836												
267	174	0	1	1494	1891	3,160232681												
373	11	0	0	1494	1892	3,158562368												
84	56	0	1	1495	1893	3,159006867												
256	181	0	1	1496	1894	3,159450898												
229	131	0	1	1497	1895	3,159894459												
230	251	0	1	1498	1896	3,160337553												
119	83	0	1	1499	1897	3,160780179												
133	175	0	1	1500	1898	3,161222339												
310	264	0	1	1501	1899	3,161664034												
123	296	0	1	1502	1900	3,162105263												
127	356	0	1	1503	1901	3,162546028												
297	322	0	1	1504	1902	3,16298633												
24	14	0	0	1504	1903	3,161324225												
349	215	0	1	1505	1904	3,161764706												
172	1	0	0	1505	1905	3,160104987												
204	265	0	1	1506	1906	3,160545645												
347	233	0	1	1507	1907	3,160985842												
21	151	0	1	1508	1908	3,161425577												
223	2	0	1	1509	1909	3,161864851												
392	300	0	0	1509	1910	3,160209424												
317	48	0	1	1510	1911	3,160648875												
375	144	0	1	1511	1912	3,161087866												
394	211	0	1	1512	1913	3,161526398												
337	326	0	1	1513	1914	3,161964472												
373	266	0	1	1514	1915	3,162402089												
214	366	0	1	1515	1916	3,162839248												
225	94	0	1	1516	1917	3,163275952												
285	130	0	1	1517	1918	3,1637122												
339	129	0	1	1518	1919	3,164147994												
153	106	0	1	1519	1920	3,164583333												
170	303	0	1	1520	1921	3,16501822												
21	232	0	1	1521	1922	3,165452653												
59	98	0	1	1522	1923	3,165886635												
229	398	0	0	1522	1924	3,164241164												
105	55	0	1	1523	1925	3,164675325												
238	58	0	1	1524	1926	3,165109034												
93	174	0	1	1525	1927	3,165542294												
174	129	0	1	1526	1928	3,165975104												
316	120	0	1	1527	1929	3,166407465												
12	70	0	0	1527	1930	3,164766839												
221	60	0	1	1528	1931	3,165199379												
17	329	0	0	1528	1932	3,163561077												
347	255	0	1	1529	1933	3,163993792												
63	305	0	1	1530	1934	3,16442606												
37	360	0	0	1530	1935	3,162790698												
104	352	0	1	1531	1936	3,16322314												
358	81	0	1	1532	1937	3,163655137												
7	40	0	0	1532	1938	3,162022704												
347	231	0	1	1533	1939	3,162454874												
114	127	0	1	1534	1940	3,162886598												
70	242	0	1	1535	1941	3,163317877												
166	371	0	1	1536	1942	3,163748713												
213	14	0	1	1537	1943	3,164179104												
161	72	0	1	1538	1944	3,164609053												
133	334	0	1	1539	1945	3,16503856												
78	21	0	0	1539	1946	3,163412127												
383	236	0	1	1540	1947	3,163841808												
94	240	0	1	1541	1948	3,164271047												
358	361	0	0	1541	1949	3,162647512												
67	200	0	1	1542	1950	3,163076923												
361	289	0	1	1543	1951	3,163505894												
282	113	0	1	1544	1952	3,163934426												
303	153	0	1	1545	1953	3,164362519												
101	94	0	1	1546	1954	3,164790174												
390	385	0	0	1546	1955	3,163171355												
355	108	0	1	1547	1956	3,163599182												
64	71	0	1	1548	1957	3,164026571												
196	206	0	1	1549	1958	3,164453524												
237	50	0	1	1550	1959	3,164880041												
130	219	0	1	1551	1960	3,165306122												
349	338	0	0	1551	1961	3,163691994												
251	230	0	1	1552	1962	3,164118247												
250	131	0	1	1553	1963	3,164544065												
179	223	0	1	1554	1964	3,16496945												
134	129	0	1	1555	1965	3,165394402												
53	143	0	1	1556	1966	3,165818922												
38	252	0	1	1557	1967	3,16624301												
207	359	0	1	1558	1968	3,166666667												
234	353	0	1	1559	1969	3,167089893												
346	215	0	1	1560	1970	3,16751269												
13	149	0	1	1561	1971	3,167935058												
58	213	0	1	1562	1972	3,168356998												
213	377	0	1	1563	1973	3,16877851												
83	148	0	1	1564	1974	3,169199595												
320	177	0	1	1565	1975	3,169620253												
262	245	0	1	1566	1976	3,170040486												
31	192	0	1	1567	1977	3,170460293												
287	343	0	1	1568	1978	3,170879676												
362	201	0	1	1569	1979	3,171298636												
114	329	0	1	1570	1980	3,171717172												
359	103	0	1	1571	1981	3,172135285												
201	338	0	1	1572	1982	3,172552977												
311	53	0	1	1573	1983	3,172970247												
333	313	0	1	1574	1984	3,173387097												
57	209	0	1	1575	1985	3,173803526												
15	275	0	1	1576	1986	3,174219537												
22	203	0	1	1577	1987	3,174635128												
297	212	0	1	1578	1988	3,175050302												
56	276	0	1	1579	1989	3,175465058												
134	345	0	1	1580	1990	3,175879397												
59	115	0	1	1581	1991	3,17629332												
196	110	0	1	1582	1992	3,176706827												
139	305	0	1	1583	1993	3,17711992												
369	385	0	0	1583	1994	3,17552658												
347	155	0	1	1584	1995	3,17593985												
234	235	0	1	1585	1996	3,176352705												
286	254	0	1	1586	1997	3,176765148												
108	95	0	1	1587	1998	3,177177177												
246	10	0	1	1588	1999	3,177588794												
78	198	0	1	1589	2000	3,178												
37	277	0	1	1590	2001	3,178410795												
394	115	0	0	1590	2002	3,176823177												
344	259	0	1	1591	2003	3,177234149												
163	396	0	1	1592	2004	3,177644711												
388	344	0	0	1592	2005	3,17605985												
317	116	0	1	1593	2006	3,176470588												
198	213	0	1	1594	2007	3,176880917												
144	252	0	1	1595	2008	3,177290837												
393	350	0	0	1595	2009	3,175709308												
252	370	0	1	1596	2010	3,176119403												
379	28	0	0	1596	2011	3,17454003												
169	261	0	1	1597	2012	3,174950298												
389	227	0	1	1598	2013	3,175360159												
332	130	0	1	1599	2014	3,175769613												
165	174	0	1	1600	2015	3,17617866												
125	120	0	1	1601	2016	3,176587302												
392	213	0	1	1602	2017	3,176995538												
199	383	0	1	1603	2018	3,17740337												
343	109	0	1	1604	2019	3,177810797												
133	203	0	1	1605	2020	3,178217822												
264	232	0	1	1606	2021	3,178624443												
143	118	0	1	1607	2022	3,179030663												
2	313	0	0	1607	2023	3,177459219												
304	190	0	1	1608	2024	3,177865613												
231	212	0	1	1609	2025	3,178271605												
256	389	0	1	1610	2026	3,178677196												
259	9	0	1	1611	2027	3,179082388												
5	162	0	1	1612	2028	3,179487179												
199	47	0	1	1613	2029	3,179891572												
136	258	0	1	1614	2030	3,180295567												
259	156	0	1	1615	2031	3,180699163												
110	35	0	1	1616	2032	3,181102362												
262	389	0	1	1617	2033	3,181505165												
182	182	0	1	1618	2034	3,181907571												
368	381	0	0	1618	2035	3,18034398												
385	76	0	0	1618	2036	3,178781925												
85	326	0	1	1619	2037	3,179185076												
289	185	0	1	1620	2038	3,179587831												
355	208	0	1	1621	2039	3,179990191												
185	235	0	1	1622	2040	3,180392157												
272	247	0	1	1623	2041	3,180793729												
387	9	0	0	1623	2042	3,179236043												
328	159	0	1	1624	2043	3,179637788												
317	288	0	1	1625	2044	3,180039139												
296	371	0	1	1626	2045	3,180440098												
117	306	0	1	1627	2046	3,180840665												
156	138	0	1	1628	2047	3,18124084												
138	260	0	1	1629	2048	3,181640625												
98	287	0	1	1630	2049	3,18204002												
332	256	0	1	1631	2050	3,182439024												
202	380	0	1	1632	2051	3,18283764												
280	48	0	1	1633	2052	3,183235867												
70	192	0	1	1634	2053	3,183633707												
373	324	0	0	1634	2054	3,182083739												
309	330	0	1	1635	2055	3,182481752												
252	269	0	1	1636	2056	3,182879377												
38	279	0	1	1637	2057	3,183276616												
130	229	0	1	1638	2058	3,183673469												
86	146	0	1	1639	2059	3,184069937												
339	326	0	1	1640	2060	3,184466019												
215	97	0	1	1641	2061	3,184861718												
175	318	0	1	1642	2062	3,185257032												
1	205	0	1	1643	2063	3,185651963												
324	301	0	1	1644	2064	3,186046512												
326	68	0	1	1645	2065	3,186440678												
395	384	0	0	1645	2066	3,184898354												
372	328	0	0	1645	2067	3,183357523												
311	384	0	0	1645	2068	3,181818182												
52	330	0	1	1646	2069	3,18221363												
133	294	0	1	1647	2070	3,182608696												
263	270	0	1	1648	2071	3,18300338												
31	264	0	1	1649	2072	3,183397683												
252	68	0	1	1650	2073	3,183791606												
6	285	0	0	1650	2074	3,182256509												
127	264	0	1	1651	2075	3,182650602												
9	16	0	0	1651	2076	3,181117534												
148	189	0	1	1652	2077	3,181511796												
183	3	0	1	1653	2078	3,181905679												
171	316	0	1	1654	2079	3,182299182												
252	218	0	1	1655	2080	3,182692308												
249	265	0	1	1656	2081	3,183085055												
279	172	0	1	1657	2082	3,183477426												
258	377	0	1	1658	2083	3,183869419												
260	203	0	1	1659	2084	3,184261036												
396	87	0	0	1659	2085	3,182733813												
273	192	0	1	1660	2086	3,183125599												
274	392	0	0	1660	2087	3,181600383												
211	29	0	1	1661	2088	3,181992337												
14	342	0	0	1661	2089	3,180469124												
117	221	0	1	1662	2090	3,180861244												
44	339	0	0	1662	2091	3,179340029												
220	168	0	1	1663	2092	3,179732314												
249	146	0	1	1664	2093	3,180124224												
119	74	0	1	1665	2094	3,180515759												
151	71	0	1	1666	2095	3,180906921												
171	300	0	1	1667	2096	3,18129771												
154	191	0	1	1668	2097	3,181688126												
111	16	0	0	1668	2098	3,180171592												
2	175	0	1	1669	2099	3,180562172												
202	396	0	1	1670	2100	3,180952381												
151	361	0	1	1671	2101	3,181342218												
70	79	0	1	1672	2102	3,181731684												
121	181	0	1	1673	2103	3,18212078												
12	311	0	0	1673	2104	3,180608365												
251	227	0	1	1674	2105	3,180997625												
305	370	0	1	1675	2106	3,181386515												
214	333	0	1	1676	2107	3,181775036												
352	300	0	1	1677	2108	3,182163188												
98	73	0	1	1678	2109	3,182550972												
128	294	0	1	1679	2110	3,182938389												
282	351	0	1	1680	2111	3,183325438												
220	289	0	1	1681	2112	3,183712121												
55	376	0	0	1681	2113	3,182205395												
103	24	0	0	1681	2114	3,180700095												
52	223	0	1	1682	2115	3,18108747												
204	107	0	1	1683	2116	3,18147448												
223	256	0	1	1684	2117	3,181861124												
399	90	0	0	1684	2118	3,180358829												
125	261	0	1	1685	2119	3,180745635												
219	117	0	1	1686	2120	3,181132075												
363	93	0	1	1687	2121	3,181518152												
10	34	0	0	1687	2122	3,18001885												
263	7	0	0	1687	2123	3,178520961												
181	234	0	1	1688	2124	3,178907721												
393	12	0	0	1688	2125	3,177411765												
225	59	0	1	1689	2126	3,177798683												
280	303	0	1	1690	2127	3,178185237												
88	76	0	1	1691	2128	3,178571429												
284	392	0	0	1691	2129	3,177078441												
191	295	0	1	1692	2130	3,177464789												
14	139	0	1	1693	2131	3,177850774												
207	385	0	1	1694	2132	3,178236398												
86	346	0	1	1695	2133	3,17862166												
235	211	0	1	1696	2134	3,17900656												
278	224	0	1	1697	2135	3,179391101												
79	39	0	0	1697	2136	3,177902622												
288	357	0	1	1698	2137	3,178287319												
138	39	0	1	1699	2138	3,178671656												
289	176	0	1	1700	2139	3,179055633												
316	156	0	1	1701	2140	3,179439252												
53	111	0	1	1702	2141	3,179822513												
10	291	0	0	1702	2142	3,178338002												
235	355	0	1	1703	2143	3,178721419												
204	31	0	1	1704	2144	3,179104478												
64	181	0	1	1705	2145	3,179487179												
67	309	0	1	1706	2146	3,179869525												
229	329	0	1	1707	2147	3,180251514												
379	29	0	0	1707	2148	3,17877095												
233	231	0	1	1708	2149	3,179153094												
158	255	0	1	1709	2150	3,179534884												
328	220	0	1	1710	2151	3,179916318												
102	123	0	1	1711	2152	3,180297398												
67	316	0	1	1712	2153	3,180678124												
389	108	0	0	1712	2154	3,179201486												
47	133	0	1	1713	2155	3,179582367												
385	163	0	1	1714	2156	3,179962894												
240	137	0	1	1715	2157	3,180343069												
20	166	0	1	1716	2158	3,180722892												
177	21	0	1	1717	2159	3,181102362												
284	374	0	1	1718	2160	3,181481481												
154	356	0	1	1719	2161	3,18186025												
281	314	0	1	1720	2162	3,182238668												
205	64	0	1	1721	2163	3,182616736												
14	231	0	1	1722	2164	3,182994455												
347	134	0	1	1723	2165	3,183371824												
227	204	0	1	1724	2166	3,183748846												
98	206	0	1	1725	2167	3,184125519												
343	144	0	1	1726	2168	3,184501845												
318	305	0	1	1727	2169	3,184877824												
45	71	0	0	1727	2170	3,183410138												
50	373	0	0	1727	2171	3,181943805												
176	388	0	1	1728	2172	3,182320442												
263	352	0	1	1729	2173	3,182696733												
296	134	0	1	1730	2174	3,183072677												
138	313	0	1	1731	2175	3,183448276												
1	382	0	0	1731	2176	3,181985294												
287	265	0	1	1732	2177	3,182361047												
156	124	0	1	1733	2178	3,182736455												
